Project,Stage,Datetime, Amount ,Valuation,Type project,Dead,WL,Token,Website,Chains,Description,Announcement,Category-Defillama,Main-Cate,Sub-Cate1,Sub-Cate2,Sub-Cate3,Total Sub-Cate
Darkfarms1,ICO,3/12/2024,  1.945.344 ,,,,,,,Solana,$BOME - Solana Memecoin Presale,https://twitter.com/zachxbt/status/1770138079044485357,Meme,Web3,Meme,,,Meme
Nexus Mutual,,2/16/2021,  2.700.000 ,,,,,,,Ethereum,Nexus Mutual uses the power of blockchain technology and Ethereum to allow people from all over the world.,,DeFi,DeFi,Insurance,,,Insurance
Homa Lab,Series B,10/12/2022,  100.000.000 ,,,No,No,No,https://x.com/homagames?lang=en,,Mobile Game Publisher,https://twitter.com/HomaGames/status/1580117550964215808?s=20&t=BrmSbQf-cTjc97IPhhwRXQ,Gaming,GameFi,Gaming,,,Gaming
Automata Network,Seed,3/9/2021,  1.000.000 ,,,,,,,,Automata Network is a decentralised protocol that provides middleware-like traceless privacy services.,,DeFi,Service,dApp,,,dApp
Shuffle,Seed,2/23/2024,  2.500.000 ,,,,,,,"Bitcoin,Ethereum",crypto casino and sports betting platform,https://x.com/shufflecom/status/1761028296463249433,Betting,Web3,Gambling,,,Gambling
Beoble,Seed,2/19/2024,  7.000.000 ,,,,,,,,Web3 messaging and social platform,https://x.com/beoble_official/status/1759553111189041395,Web3,Web3,Social Network,,,Social Network
Brave New Coin,Equity Crowdsale,11/25/2015,  400.000 ,,,,,,,,Brave New Coin is a Data & Research company focused on the exponential Blockchain & Digital Equities industry.,,Analytics,Service,,,,
Clusters,Seed,2/1/2024,  9.000.000 ,,,,,,,,Omnichain naming service protocol,https://x.com/clustersxyz/status/1753059736172548503,,Web3,Name Service,,,Name Service
Tally,,3/18/2021,  1.500.000 ,,,,,,,,An app for keeping up with governance developments and exercising voting rights across a number of different DeFi currencies.,,DeFi,DeFi,DAO,,,DAO
Reboot World,Seed,2/1/2024,  2.500.000 ,,,,,,,"Ethereum,Solana,Arbitrum,Polygon,Optimism,Avalanche",Omnichain metaverse powered by generative AI,https://x.com/RebootDotWorld/status/1752867537933733929,Metaverse,Web3,Metaverse,AI,,Metaverse;AI
Vega Protocol,Series A,3/18/2021,  5.000.000 ,,,,,,,Ethereum,Vega Protocol is a technology protocol for fully automated end-to-end financial product trading and execution.,https://www.coindesk.com/markets/2021/03/18/derivatives-trading-protocol-vega-raises-5m-from-coinbase-arrington-and-more/,DeFi,DeFi,Trading,Copy Trade,,Trading;Copy Trade
Xterio,,8/30/2022,  40.000.000 ,,,No,No,No,https://x.com/XterioGames,,,https://twitter.com/amytongwu/status/1564574326279520257,Gaming,GameFi,Gaming,,,Gaming
Hyperline,Seed,1/24/2024,  5.200.000 ,,,,,,,,Web3 Data Lakehouse,https://x.com/hyperline_xyz/status/1749903630415867984,,Web3,Data Service,,,Data Service
Linkko,Strategic ,1/18/2024,,,,,,,,,On-chain Advertising platform,https://x.com/Linkko_io/status/1747937473727271034,Web3,Web3,Advertising,,,Advertising
Wield,Pre-Seed,1/17/2024,  1.000.000 ,,,,,,,,web3 entertainment platform,https://x.com/cryptojcdenton/status/1747048464830365887,Web3,Web3,Social Network,,,Social Network
imToken,Series B,3/30/2021,  30.000.000 ,,,,,,,,imToken is the worlds largest Ethereum digital asset wallet.,,DeFi,DeFi,Asset Management,,,Asset Management
Lido,Private token sale,5/5/2021,  73.000.000 ,,,,,,,"Ethereum,Terra,Solana,Moonbeam,Moonriver",Liquid Staking,https://www.theblock.co/linked/103874/eth2-staking-protocol-lido-raises-73-million-paradigm,DeFi,DeFi,Staking,,,Staking
BeWater,Strategic ,1/12/2024,,,,,,,,,decentralized hackathon platform and a global developer community,https://x.com/BeWaterOfficial/status/1745717992955244682,Web3,Web3,ACCELERATION,,,ACCELERATION
Tune.FM,,1/10/2024,  20.000.000 ,,,,,,,"Ethereum,Hedera",web3 decentralized music streaming platform & music NFT marketplace ,https://x.com/tunefmofficial/status/1745175630558171154,Web3,Web3,Music,,,Music
MEME,Private,1/4/2024,,,,,,,,,,https://x.com/BinanceLabs/status/1742821267823317025,Meme,Web3,Meme,,,Meme
BOSONIC,Series A,1/1/2016,  3.000.000 ,,,,,,,,BOSONIC is a Fintech platform that eliminates counterparty credit and settlement risk in digital assets trading.,,Trading,CeFi,CEX,,,CEX
B2C2,Debt Financing,1/1/2016,  1.000.000 ,,,,,,,,B2C2 is the trading firm of choice in the institutional crypto markets.,,Trading,CeFi,CEX,,,CEX
Smartlink,Private token sale,5/10/2021,  3.000.000 ,,,,,,,Tezos,escrow payments ecosystem,https://cointelegraph.com/press-releases/smartlink-raises-3m-for-it-s-escrow-payments-ecosystem-built-on-tezos,DeFi,DeFi,DAO,Payment,,DAO;Payment
ISSP,,1/2/2024,,,,,,,,Sui,multi-chain interoperability system for inscription protocols,https://x.com/isspio/status/1742124274868191330,NFT,Web3,Meme,,,Meme
Zebpay,Series A,1/6/2016,  1.000.000 ,,,,,,,,Global Cryptocurrency Exchange and Wallet,,Centralized Exchange,CeFi,CEX,,,CEX
Gem,Series A,1/6/2016,  7.600.000 ,,,,,,,,Gem is one of the most trusted cryptocurrency and blockchain brands in the world.,,L1,Infrastructures,Layer-1,,,Layer-1
Lolli,Series B,12/14/2023,  8.000.000 ,,,,,,,Bitcoin,bitcoin and cashback rewards application,https://x.com/jacqmelinek/status/1735299225502486790,Web3,Web3,Bitcoin,,,Bitcoin
RSK Labs,Seed,1/14/2016,  350.000 ,,,,,,,RSK,RSK is the first open-source smart contract platform,,L1,Infrastructures,Layer-1,,,Layer-1
Sona,Seed,12/8/2023,  6.900.000 ,,,,,,,,Web3 music streaming platform,https://x.com/Crypto_Dep/status/1732444344571838887,Web3,Web3,Music,,,Music
SharkPay,Seed,1/15/2016,  3.000.000 ,,,,,,,,"SharkPay is an innovative, easy-to-use payment gateway that accepts over 20 different methods, including cryptocurrencies like Bitcoin.",,Payments,Service,,,,
Coinsecure,Series A,1/18/2016,  1.200.000 ,,,,,,,,Bitcoin service provider in India.,,Centralized Exchange,CeFi,CEX,,,CEX
TenX,Angel Round,1/19/2016,  120.000 ,,,,,,,,TenX makes any cryptocurrency spendable anytime and anywhere.,,Payments,Service,,,,
Panther Protocol,ICO,6/1/2021,  8.000.000 ,,,,,,,,Panther Protocol is an interoperable privacy solution focused on the needs of decentralized finance traders and investors.,,DeFi,DeFi,Trading,DEX,,Trading;DEX
Telcoin,Seed,7/1/2021,  10.000.000 ,,,,,,,Polygon,"The company's eponymous cryptocurrency, Telcoin, is based on the popular Ethereum blockchain",,DeFi,DeFi,Privacy,,,Privacy
Portal,,9/21/2021,  8.500.000 ,,,,,,,"Ethereum,Terra,Solana,Near,BSC,Polygon,Avalanche,Celo,Fantom,Oasis,Aptos,Klaytn,Acala,Aurora,Terra2,Moonbeam,Algorand",Portal is a financial services company that trades crypto without putting coins at risk.,,DeFi,DeFi,Asset Management,,,Asset Management
BitFlyer,,1/26/2016,  422.000 ,,,,,,,,"BitFlyer is a bitcoin exchange and marketplace that enables its customers to buy, sell, and spend bitcoins.",,,CeFi,CEX,,,CEX
Inspect,Strategic,11/28/2023,,,,,,,,,,https://twitter.com/inspectxyz/status/1729524490382799268,SocialFi,Web3,Layer-2,,,Layer-2
WISeKey,,1/27/2016,  59.114.000 ,,,,,,,,"WISeKey is a cybersecurity company using blockchain, AI, IoT technologies, and security to counterfeit fraud of bankcard and transactions.",,Cybersecurity,Service,AI,Security,,AI;Security
Bitnomial,Debt Financing,1/28/2016,  2.000.000 ,,,,,,,,Bitnomial offers improved derivatives exchange technology coupled with new digital asset settlement systems.,,Trading,CeFi,CEX,,,CEX
Catalog,Seed,2/24/2022,  7.500.000 ,75000000,,,,,,,Cross-chain AMM,https://twitter.com/CoinDesk/status/1496500699664125958,DeFi,DeFi,DEX,Cross-chain,,DEX;Cross-chain
MovoCash,Seed,1/31/2016,  700.000 ,,,,,,,,"MovoCash is a financial services company that specializes in P2P Payments, Mobile Banking, Fintech, and Finserv.",,Payments,Service,,,,
Securrency,Pre-Seed,2/1/2016,  750.000 ,,,,,,,,Securrency delivers financial technology products for the tokenized issuance and trading of securities.,,Trading,CeFi,CEX,,,CEX
Lido,,3/3/2022,  70.000.000 ,,,,,,,"Ethereum,Solana,Moonbeam,Moonriver,Terra",Liquid Staking,https://twitter.com/a16z/status/1499447054069817352,DeFi,DeFi,Staking,,,Staking
Zulu,Seed,11/17/2022,  5.000.000 ,,,,,,,Polygon,"Zulu is a 100% decentralized wallet that functions on the Polygon Blockchain and allows users to purchase, hold and sell USDC",https://twitter.com/TheBlock__/status/1593243186486726658,DeFi,DeFi,Wallet,,,Wallet
crowdhouse,Series A,2/1/2016,  1.959.000 ,,,,,,,,Transactional Real Estate Marketplace,,Real Estate,DeFi,,,,
Pillar Project,ICO,7/17/2017,  21.000.000 ,,,,,,,,Platform to contextually manage your identity and transact with the services of the emerging web3 digital economy.,,Digital Identity,Service,Identity,Name Service,,Identity;Name Service
AnotherBall,Seed,11/27/2023,  12.800.000 ,,,,,,,,,https://www.prnewswire.com/news-releases/anotherball-the-company-behind-izumo-secures-12-7m-in-seed-funding-surpassing-14-8m-in-total-funding-301997527.html,SocialFi,Web3,Art,NFT,Music,Art;NFT;Music
Friend3,Strategic,11/19/2023,,,,,,,,,,https://twitter.com/BNBSwap/status/1726213230400520416,SocialFi,Web3,Communication,X-to-Earn,,Communication;X-to-Earn
Sleek,Seed,11/17/2023,  5.000.000 ,,,,,,,,,https://www.theblock.co/post/263450/binance-labs-web3-social-sleek-seed-token-round-valuation,SocialFi,Web3,Communication,X-to-Earn,Marketplace,Communication;X-to-Earn;Marketplace
Naga,Angel Round,2/10/2016,  1.128.000 ,,,,,,,,Naga AG Group is a German-based fintech company founded in 2015 and publicly listed on the Frankfurt Stock Exchange.,,,CeFi,CEX,,,CEX
Proof of Play,Seed,9/21/2023,  33.000.000 ,,,No,No,No,https://x.com/ProofOfPlay,,,https://x.com/ProofOfPlay/status/1704876956762956188?s=20,Gamefi,GameFi,NFT,Gaming,Metaverse,NFT;Gaming;Metaverse
Chainalysis,Seed,2/19/2016,  1.600.000 ,,,,,,,,Blockchain Analysis,https://www.coindesk.com/markets/2016/02/19/chainalysis-raises-16-million-signs-cybercrime-deal-with-europol/,Analytics,Service,,,,
Fabric Systems,Seed,10/13/2022,  13.000.000 ,,,,,,,,Mining hardware & processors for advanced cryptographic algorithms such as zk Proofs,https://twitter.com/CoinDesk/status/1580591936582610944,Hardware,Infrastructures,Hardware,,,Hardware
trueEX,,2/26/2016,  7.752.000 ,,,,,,,,TrueEX is a financial technology company providing electronic execution platforms for the global interest rate swaps (IRS) market.,,,DeFi,,,,
Humanscape,Series A,9/18/2018,  2.090.000 ,,,,,,,,"Humanscape is a health-tech startup which operates blockchain-based, rare disease patient health data platform.",,Healthcare,Service,Health,,,Health
Simplex,Grant,3/1/2016,  600.000 ,,,,,,,,Simplex is an EMI licensed Fintech company providing fraudless payment processing solutions to online merchants,,Payments,Service,,,,
Authentickator,Seed,11/8/2023,  4.000.000 ,,,,,,,,,https://e27.co/authentick-secures-us4m-for-wallet-free-digital-collectible-purchases-20231108/,SocialFi,Web3,Identity,Collectibles,,Identity;Collectibles
Hypetoon,Undisclosed,11/8/2023,,,,,,,,,,https://hypetoon.medium.com/web-3-0-webtoon-ecosystem-hypetoon-secures-funding-from-ozaru-ventures-67bfd5823770,SocialFi,Web3,NFT,Social Network,,NFT;Social Network
Memeland,Public Token Sale,10/26/2023,  10.000.000 ,,,,,,,,,https://www.coindesk.com/web3/2023/10/26/memeland-a-web3-project-built-by-9gags-team-secures-10m-minutes-after-going-live/,SocialFi,Web3,Meme,,,Meme
Octa Innovations,Seed,9/1/2018,  1.460.000 ,,,,,,,,"Octa Innovations provides computing, blockchain and artificial intelligence to solve information security issues.",,Information security,Infrastructures,Privacy,,,Privacy
Izmir Token,Strategic,10/25/2023,  525.000 ,,,,,,,,,https://egirisim.com/2023/10/25/dijital-para-birimi-izmir-token-sedat-ocakcidan-15-milyon-tl-yatirim-aldi/,SocialFi,Web3,Fan Token,,,Fan Token
CyberConnect,Strategic,10/25/2023,,,,,,,,,,https://twitter.com/BinanceLabs/status/1717203330156609719,SocialFi,Web3,Social Network,,,Social Network
Port3 Network,Strategic,10/23/2023,,,,,,,,,,https://twitter.com/Port3Network/status/1716318619725144104,SocialFi,Web3,Communication,Data Service,Media,Communication;Data Service;Media
Elliptic,Series A,3/20/2016,  5.000.000 ,,,,,,,,Elliptic makes cryptocurrency transaction activity more transparent and accountable.,,Analytics,Service,,,,
Rootstock,ICO,3/21/2016,  1.000.000 ,,,,,,,,Smart-Contracts side chain for Bitcoin,https://www.coindesk.com/markets/2016/03/21/rootstock-raises-1-million-to-bring-smart-contracts-to-bitcoin/,Smart Contract Platform,Infrastructures,Layer-2,,,Layer-2
Lisk,ICO,3/22/2016,  5.750.000 ,,,,,,,,"Lisk is a blockchain application platform based in Zug, Switzerland.",,L1,Infrastructures,Layer-1,,,Layer-1
Ddmg.com,Series A,3/28/2016,  7.680.000 ,,,,,,,,Ddmg.com is a developer of a blockchain B2B platform for steel trading transactions.,,Trading,CeFi,CEX,,,CEX
Fileverse,Pre Seed,10/17/2023,  1.500.000 ,,,,,,,,,https://twitter.com/fileverse/status/1714288331570471336,SocialFi,Web3,Communication,,,Communication
The TIE,Series A,3/22/2022,  9.000.000 ,100000000,,,,,,,,https://twitter.com/TheTIEIO/status/1505896336360677384,Information services digital assets,Infrastructures,News,Data Service,,News;Data Service
Foxbit,Seed,4/1/2016,  100.000 ,,,,,,,,"Foxbit is a cryptocurrency exchange operating in Brazil with trading in bitcoin, ether, litecoin, TrueUSD and XRP.",,Centralized Exchange,CeFi,CEX,,,CEX
EPNS,Series A,4/15/2022,  10.100.000 ,131000000,,,,,,Ethereum,Push Notifications,https://twitter.com/epnsproject/status/1514605465530818567,Information services digital assets,Infrastructures,News,,,News
Stove Labs,Grant,4/5/2023,,,,,,,,,,https://docs.google.com/spreadsheets/d/1LP99k78LAdnQivhADECQh1hgi1s5XWBzf8PPXZgah4s/edit#gid=1779147459,Infrastructures,Infrastructures,Zk Proof,,,Zk Proof
Xapo,Series A,7/8/2014,  20.000.000 ,,,,,,,,Xapo combines the convenience of an everyday bitcoin wallet with the security of a deep cold storage vault.,,Infrastructure,Service,Wallet,,,Wallet
Gunzilla Games,Strategic ,3/26/2024,  30.000.000 ,,,No,No,No,https://gunzillagames.com/en/,Avalanche,Battle royale game & gaming blockchain,https://twitter.com/gunzillagames/status/1772648081109942748,Gaming,GameFi,Gaming,,,Gaming
Galxe,Grant,10/12/2023,  405.000 ,,,,,,,,,https://forum.arbitrum.foundation/t/extension-of-arbitrum-s-short-term-incentive-program/18800,SocialFi,Web3,Communication,Marketing,,Communication;Marketing
BitKan,Series A,4/15/2016,  1.600.000 ,,,,,,,,BitKan is a Bitcoin-focused data and trading services provider.,,Trading,CeFi,CEX,,,CEX
BitFlyer,Series C,4/25/2016,  26.945.000 ,,,,,,,,"BitFlyer is a bitcoin exchange and marketplace that enables its customers to buy, sell, and spend bitcoins.",,Centralized Exchange,CeFi,CEX,,,CEX
BlockTrail,Seed,8/18/2014,  668.000 ,,,,,,,,Blocktrail is a powerful Bitcoin wallet and developers platform and block explorer that delivers tools the bitcoin economy.,,Infrastructure,Service,Wallet,,,Wallet
Tonsnipe,Private Equity,12/20/2022,  100.000 ,,,,,,,TON,Token presale tracking and NFT aggregating platform,https://twitter.com/tonsnipe/status/1604930079078883329,,Service,NFT,Prediction Market,,NFT;Prediction Market
Phaver,Seed,10/5/2023,  7.000.000 ,,,,,,,,,https://x.com/phaverapp/status/1709922051576807490?s=20,SocialFi,Web3,Social Network,Media,,Social Network;Media
SharkPay,Seed,5/4/2016,  250.000 ,,,,,,,,"SharkPay is an innovative, easy-to-use payment gateway that accepts over 20 different methods, including cryptocurrencies like Bitcoin.",,Payments,Service,,,,
AirDAO,Strategic,10/3/2023,  7.500.000 ,,,,,,,,,https://blog.airdao.io/dwf-labs-invests-7-5-million-in-airdao-to-drive-ecosystem-growth-1bd828f5ec44,SocialFi,Web3,DAO,Fundraising,,DAO;Fundraising
Wyre,Seed,10/1/2014,  1.500.000 ,,,,,,,,Wyre is a crypto and payment infrastructure company that develops a variety of payment APIs.,,Infrastructure,Service,,Payment,,Payment
Coinplug,Series A,10/8/2014,  2.500.000 ,,,,,,,,Coinplug is a Korean blockchain developing company founded in 2013 with over 300 blockchain patents in multiple fields.,,Infrastructure,Infrastructures,Layer-1,,,Layer-1
Layer2 Labs,Seed,12/19/2022,  3.000.000 ,0,,,,,,,Company focused on the development of the Bip300 sidechain.,https://www.coindesk.com/tech/2022/12/20/bitcoin-development-company-layer-2-labs-raises-3m-to-bring-drivechains-to-network/?,,Infrastructures,,,,
Tech Bureau,Series A,5/11/2016,  6.200.000 ,,,,,,,,Tech Bureau provides cryptographic currency and Blockchain technology using exchange API to handle currency encryption.,,,CeFi,CEX,,,CEX
Circle,Series D,5/13/2016,  60.000.000 ,,,,,,,,Circle is a global internet finance company built on blockchain technology and powered by crypto assets.,,CeFi,CeFi,,Stablecoins,,Stablecoins
AlphaGuilty,Undisclosed,10/2/2023,  300.000 ,,,,,,,,,https://twitter.com/AGuiltyOfficial/status/1708912515093049581,SocialFi,Web3,Marketing,X-to-Earn,,Marketing;X-to-Earn
2TM,Series B,11/30/2021,  50.300.000 ,,,,,,,,"2TM creates an infrastructure for the financial market in blockchain, ensuring efficiency and security in funding and investment operations.",,Infrastructure,Infrastructures,,Smart Contract,,Smart Contract
Airstack,Pre-Seed,10/20/2022,  3.000.000 ,,,,,,,,Web3 developer platform,https://twitter.com/betashop/status/1583070921274773504,Infrastructure,Infrastructures,,Tooling,,Tooling
Bams,Seed,9/25/2023,  425.250 ,,,,,,,,,https://x.com/BamsMonster/status/1706343037658427432?s=20,,Web3,,,,
Orb Technology,Pre Seed,9/21/2023,  2.300.000 ,,,,,,,,,https://x.com/orbapp_/status/1704854208514830517?s=20,SocialFi,Web3,Social Network,Communication,,Social Network;Communication
Evertas,Series A,12/12/2022,  14.000.000 ,,,,,,,,Cryptocurrency insurance,https://twitter.com/CoinDesk/status/1602303513941479425,Insurance,DeFi,Insurance,,,Insurance
BeWater,Undisclosed,9/21/2023,  1.000.000 ,,,,,,,,,https://x.com/BeWaterOfficial/status/1704828641765671365?s=20,SocialFi,Web3,Education,Communication,,Education;Communication
Crypto Cafe,Accelerator,9/21/2023,,,,,,,,,,https://www.binance.com/en/blog/ecosystem/meet-the-cohort-binance-labs-incubation-season-6-3293752531037588947,SocialFi,Web3,Education,X-to-Earn,,Education;X-to-Earn
